example_id, text, aspect_term, term_location, class
856_0,An oasis of refinement:  Food[comma] though somewhat uneven[comma] often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.,chef,114--118,1
856_1,An oasis of refinement:  Food[comma] though somewhat uneven[comma] often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.,fish dishes,186--197,1
856_2,An oasis of refinement:  Food[comma] though somewhat uneven[comma] often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.,soups,202--207,1
856_3,An oasis of refinement:  Food[comma] though somewhat uneven[comma] often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.,kitchen,134--141,1
856_4,An oasis of refinement:  Food[comma] though somewhat uneven[comma] often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.,cuisine,104--111,1
2033_0,If you love wine and cheese and delicious french fare[comma] you'll love Artisanal!,wine,12--16,1
2033_1,If you love wine and cheese and delicious french fare[comma] you'll love Artisanal!,french fare,42--53,1
2033_2,If you love wine and cheese and delicious french fare[comma] you'll love Artisanal!,cheese,21--27,1
1402_0,I love Indian food and consider myself to be quite an expert on it.,Indian food,7--18,1
439_0,Some baby pizzas get their wish.,baby pizzas,5--16,0
2053_0,Overall A oh ya even though there is waiting it is deff worth it,waiting,37--44,-1
3316_0,The lava cake dessert was incredible and I recommend it.,lava cake dessert,4--21,1
433_0,VT is what baby pizzas hope to be when they grow up.,baby pizzas,11--22,0
738_0,From the terrible service[comma] to the bland food[comma] not to mention the unaccommodating managers[comma] the overall experience was horrible.,service,18--25,-1
738_1,From the terrible service[comma] to the bland food[comma] not to mention the unaccommodating managers[comma] the overall experience was horrible.,food,40--44,-1
738_2,From the terrible service[comma] to the bland food[comma] not to mention the unaccommodating managers[comma] the overall experience was horrible.,managers,81--89,-1
1549_0,Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,food,80--84,1
1549_1,Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,food,152--156,1
1798_0,The last time I went we were seated at a table in a corridor next to the kitchen.,table,41--46,-1
2941_0,good selection of wines ranging from affordable to high end.,selection of wines,5--23,1
362_0,Nice restaurant overall[comma] with classic upscale Italian decor.,Italian decor,46--59,1
2921_0,Not impressed with the food.,food,23--27,-1
1909_0,The entire dining experience was wonderful!,dining experience,11--28,1
1878_0,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,wine selection,4--18,1
1878_1,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,reservation,101--112,0
858_0,Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,Service,0--7,1
858_1,Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,maitre,91--97,1
858_2,Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,reservation,71--82,-1
3376_0,Order the panang duck[comma] it's fantastic.,panang duck,10--21,1
173_0,Food is usually very good[comma] though ocasionally I wondered about freshmess of raw vegatables in side orders.,raw vegatables,76--90,-1
1836_0,Other than the crappy service from two individuals[comma] it's great.,service,22--29,-1
1404_0,They have authentic Indian at amazin prices.,Indian,20--26,1
1404_1,They have authentic Indian at amazin prices.,prices,37--43,1
1819_0,Ambiance- relaxed and stylish.,Ambiance,0--8,1
2639_0,Luckily we saved room for the BBQ Salmon[comma] Sea Bass and Crispy Duck.,BBQ Salmon,30--40,1
2639_1,Luckily we saved room for the BBQ Salmon[comma] Sea Bass and Crispy Duck.,Sea Bass,42--50,1
2639_2,Luckily we saved room for the BBQ Salmon[comma] Sea Bass and Crispy Duck.,Crispy Duck,55--66,1
1474_0,Yes[comma] they use fancy ingredients[comma] but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.,ingredients,20--31,1
1474_1,Yes[comma] they use fancy ingredients[comma] but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.,ingredients,48--59,1
1474_2,Yes[comma] they use fancy ingredients[comma] but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.,pizza,80--85,-1
1474_3,Yes[comma] they use fancy ingredients[comma] but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.,crust,122--127,0
2059_0,and yes Dal Bukhara is so dam good and so are all the kababs.,kababs,54--60,1
2059_1,and yes Dal Bukhara is so dam good and so are all the kababs.,Dal Bukhara,8--19,1
926_0,I look forward to eating here again,eating,18--24,1
2385_0,I've been coming here as a child and always come back for the taste.,taste,62--67,1
2498_0,Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,meal,99--103,1
2498_1,Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,price,114--119,1
2469_0,A glass of Leaping Lizard[comma] a glass of prosecco[comma] and the mussels had everything happy.,glass of prosecco,29--46,1
2469_1,A glass of Leaping Lizard[comma] a glass of prosecco[comma] and the mussels had everything happy.,mussels,56--63,1
2469_2,A glass of Leaping Lizard[comma] a glass of prosecco[comma] and the mussels had everything happy.,glass of Leaping Lizard,2--25,1
567_0,Food was average and creme brulee was awful - the sugar was charred[comma] not caramelized and smelled of kerosene.,Food,0--4,0
567_1,Food was average and creme brulee was awful - the sugar was charred[comma] not caramelized and smelled of kerosene.,creme brulee,21--33,-1
567_2,Food was average and creme brulee was awful - the sugar was charred[comma] not caramelized and smelled of kerosene.,sugar,50--55,-1
3517_0,The food always tastes fresh and served promptly.,food,4--8,1
3517_1,The food always tastes fresh and served promptly.,served,33--39,1
1599_0,The pizza here is delicious.,pizza,4--9,1
2548_0,Pizza and garlic knots are great as well[comma] I order from them quite often and the delivery is always super quick!,Pizza,0--5,1
2548_1,Pizza and garlic knots are great as well[comma] I order from them quite often and the delivery is always super quick!,delivery,80--88,1
2548_2,Pizza and garlic knots are great as well[comma] I order from them quite often and the delivery is always super quick!,garlic knots,10--22,1
759_0,For great chinese food nearby[comma] you have Wu Liang Ye and Grand Sichuan just a block away.,chinese food,10--22,1
3175_0,But who says Murray's is anything about service.,service,40--47,0
2209_0,This place is really trendi but they have forgotten about the most important part of a  restaurant[comma] the food.,food,104--108,-1
1352_0,Hats off to the chef.,chef,16--20,1
3537_0,Service could be improved but overall this is a place that understands the importance of little things (the heavy[comma] black[comma] antique-seeming teapot[comma] for one) in the restaurant experience.,Service,0--7,-1
3537_1,Service could be improved but overall this is a place that understands the importance of little things (the heavy[comma] black[comma] antique-seeming teapot[comma] for one) in the restaurant experience.,teapot,138--144,1
1743_0,The pizza is delicious - they use fresh mozzarella instead of the cheap[comma] frozen[comma] shredded cheese common to most pizzaria's.,pizza,4--9,1
1743_1,The pizza is delicious - they use fresh mozzarella instead of the cheap[comma] frozen[comma] shredded cheese common to most pizzaria's.,fresh mozzarella,34--50,1
1743_2,The pizza is delicious - they use fresh mozzarella instead of the cheap[comma] frozen[comma] shredded cheese common to most pizzaria's.,cheese,90--96,-1
1321_0,Its an excellent place to relax and the food is one of the best in the city of New York.,place,17--22,1
1321_1,Its an excellent place to relax and the food is one of the best in the city of New York.,food,40--44,1
2907_0,service is friendly[comma] and never had a problem walking in and getting a table.,service,0--7,1
2907_1,service is friendly[comma] and never had a problem walking in and getting a table.,getting a table,60--75,1
1890_0,The atmosphere was crowded but it was a great bistro-type vibe.,bistro-type vibe,46--62,1
2588_0,First off[comma] the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.,waitress,15--23,-1
2588_1,First off[comma] the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.,tables,101--107,0
3130_0,The food was bland oily.,food,4--8,-1
709_0,What is even better[comma] is that the prices are very affordable as well[comma] and the food is really good.,prices,33--39,1
709_1,What is even better[comma] is that the prices are very affordable as well[comma] and the food is really good.,food,77--81,1
1198_0,The fish is fresh but the variety of fish is nothing out of ordinary.,fish,4--8,1
1198_1,The fish is fresh but the variety of fish is nothing out of ordinary.,variety of fish,26--41,-1
2302_0,Our favorite meal is a pesto pizza[comma] the house salad[comma] and a good bottle of wine.,pesto pizza,23--34,1
2302_1,Our favorite meal is a pesto pizza[comma] the house salad[comma] and a good bottle of wine.,house salad,40--51,1
2302_2,Our favorite meal is a pesto pizza[comma] the house salad[comma] and a good bottle of wine.,bottle of wine,64--78,1
2302_3,Our favorite meal is a pesto pizza[comma] the house salad[comma] and a good bottle of wine.,meal,13--17,1
1110_0,And Kruno[comma] the beverage manager is the best bartender I have yet to come across.,bartender,44--53,1
1110_1,And Kruno[comma] the beverage manager is the best bartender I have yet to come across.,beverage manager,15--31,1
973_0,Ambiance and music funky[comma] which I enjoy.,Ambiance,0--8,1
973_1,Ambiance and music funky[comma] which I enjoy.,music,13--18,1
2132_0,The food[comma] drinks and service are clearly among the best in the city.,food,4--8,1
2132_1,The food[comma] drinks and service are clearly among the best in the city.,drinks,10--16,1
2132_2,The food[comma] drinks and service are clearly among the best in the city.,service,21--28,1
231_0,I went there in late afternoon for some bite size food and refleshment with my date.,food,50--54,0
231_1,I went there in late afternoon for some bite size food and refleshment with my date.,refleshment,59--70,0
250_0,I understand the area and folks you need not come here for the romantic[comma] alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods[comma] the tastes[comma] the experiance.,ambiance,82--90,1
250_1,I understand the area and folks you need not come here for the romantic[comma] alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods[comma] the tastes[comma] the experiance.,service,108--115,1
250_2,I understand the area and folks you need not come here for the romantic[comma] alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods[comma] the tastes[comma] the experiance.,foods,217--222,1
250_3,I understand the area and folks you need not come here for the romantic[comma] alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods[comma] the tastes[comma] the experiance.,tastes,228--234,1
250_4,I understand the area and folks you need not come here for the romantic[comma] alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods[comma] the tastes[comma] the experiance.,sommlier,128--136,1
250_5,I understand the area and folks you need not come here for the romantic[comma] alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods[comma] the tastes[comma] the experiance.,captain,163--170,1
250_6,I understand the area and folks you need not come here for the romantic[comma] alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods[comma] the tastes[comma] the experiance.,back waiters,175--187,1
2988_0,Last time I went here[comma] the waitress didn't come back after taking our order.,waitress,27--35,-1
3092_0,Try the tandoori salmon!,tandoori salmon,8--23,1
3686_0,Eating in[comma] the atmosphere saves it[comma] but at your desk[comma] it's a very disappointing experience.,atmosphere,15--25,1
1922_0,Granted the space is smaller than most[comma] it is the best service you will find in even the largest of restaurants.,space,12--17,-1
1922_1,Granted the space is smaller than most[comma] it is the best service you will find in even the largest of restaurants.,service,55--62,1
2454_0,I love the atmorphere @ peep!,atmorphere,11--21,1
603_0,The service was attentive and her suggestions of menu items was right on the mark.,service,4--11,1
603_1,The service was attentive and her suggestions of menu items was right on the mark.,menu items,49--59,1
678_0,The other night we had the $30 three course meal and everything was delicious - if I could of licked the plate clean I would of.,three course meal,31--48,1
1830_0,Even after getting pushed out by the no-class Famous Ray's[comma] Sal has risen again to carry on his father's uncle's legacies with a smile[comma] true love for his community[comma] and let's not forget the Outstanding Pizza!,Pizza,202--207,1
2521_0,The environment is romantic[comma] but the food is horrible[comma] the service is pathetic[comma] and gabriella lies about everything she could.,environment,4--15,1
2521_1,The environment is romantic[comma] but the food is horrible[comma] the service is pathetic[comma] and gabriella lies about everything she could.,food,37--41,-1
2521_2,The environment is romantic[comma] but the food is horrible[comma] the service is pathetic[comma] and gabriella lies about everything she could.,service,59--66,-1
1918_0,We had crawfish boiled and despite making a mess[comma] it was a ton of fun and quite tasty as well.,crawfish boiled,7--22,1
2930_0,I had very high expectations for this place and made a reservation a couple of months in advance for a special occasion.,reservation,55--66,0
887_0,What came to our table was burned beyond recognition and stringy.,table,17--22,0
2448_0,I had the Pad Thai and the noodles were sticky.,Pad Thai,10--18,-1
2448_1,I had the Pad Thai and the noodles were sticky.,noodles,27--34,-1
3244_0,So I've never actually been to M proper[comma] but I've had it delivered a few times.,delivered,57--66,0
1478_0,Among all of the new 5th avenue restaurants[comma] this offers by far one of the best values for your money.,values for your money,80--101,1
1413_0,Frankly[comma] when you compare what you can have here for lunch[comma] versus McDs or so many other sandwich shops in the city[comma] there is no comparison.,lunch,53--58,1
3129_0,The hostess is rude to the point of being offensive.,hostess,4--11,-1
2271_0,If you're craving for Haru's great food[comma] especially the House Roll[comma] but can't stand the wait building outisde[comma] head across the street to their Sake Bar!,food,35--39,1
2271_1,If you're craving for Haru's great food[comma] especially the House Roll[comma] but can't stand the wait building outisde[comma] head across the street to their Sake Bar!,wait building,88--101,-1
1554_0,A narrow corridor leads to a tiny space where there are three tiny white tiled counters[comma] a great deal of mess (stacks of bottles[comma] cans) and a small counter holding 12-14 entrees.,corridor,9--17,-1
1554_1,A narrow corridor leads to a tiny space where there are three tiny white tiled counters[comma] a great deal of mess (stacks of bottles[comma] cans) and a small counter holding 12-14 entrees.,space,34--39,-1
1554_2,A narrow corridor leads to a tiny space where there are three tiny white tiled counters[comma] a great deal of mess (stacks of bottles[comma] cans) and a small counter holding 12-14 entrees.,counters,79--87,-1
1554_3,A narrow corridor leads to a tiny space where there are three tiny white tiled counters[comma] a great deal of mess (stacks of bottles[comma] cans) and a small counter holding 12-14 entrees.,counter,148--155,-1
1554_4,A narrow corridor leads to a tiny space where there are three tiny white tiled counters[comma] a great deal of mess (stacks of bottles[comma] cans) and a small counter holding 12-14 entrees.,entrees,170--177,0
2306_0,The food is great.,food,4--8,1
1975_0,Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,steaks,10--16,1
